id,prec,tem,ws,wd,hum,press,pm2_5
1100122898,0,11.04,1.15,156.9,90.68,727.14,22.33
1100135102,0,11.73,0.65,275.16,85.48,727.64,10.25
1100158252,0,11.82,1.02,132.48,91.26,724.17,13.49
1100127900,0,11.34,1.04,184.86,94.1,727.29,12.48
1100131699,0,12.27,1.02,105.61,84.02,726.41,26.88
110012130,0,14.46,3.52,29.45,69.21,725.41,13.03
1100145857,0,15.12,3.06,14.9,62.65,724.72,18.07
1100163452,0,12.04,1.84,205.9,58.42,725.6,5.1
110019505,0,18.04,2.11,12.95,56.47,726.92,15.4
110017122,0,13.25,2.65,184.96,66.13,727.33,34.2
1100110791,0,12.55,1.43,172.32,87.88,728.74,17.04
1100156937,0,12.12,1,133.2,96.5,722.29,20.53
110014215,0,13.77,1.46,171.41,63.31,727.43,25.84
110016804,0,9.99,0.74,304.53,90.07,726.94,14.84
1100161496,0,18.7,2.41,169.5,41.49,725.6,5.28
11001926,0,16.41,3.17,11.62,64.14,723.26,18.88
110018264,0,12.67,1.92,20.69,78.58,725.18,24.51
1100144,0,11.49,1.97,117.36,88.28,726.57,17.95
110019182,0,10.76,0.76,232.44,92.65,725.46,17.82
1100160964,0,10.67,0.95,114.5,94.78,726.89,12.4
1100112740,0,12.91,3.41,196.04,47.29,726.72,9.49
1100130193,0,13.37,1.35,157.86,75.05,724.99,15.3
110015336,4,9.31,0.96,100.29,93.13,728.8,9.97
1100154432,0,17.73,3.93,112.68,39.24,718.75,17.72
1100150544,0,15,2.35,187.44,71.08,723.31,14.44
1100120401,0,12.1,1.26,131.16,90.93,726.31,25.87
1100142611,0,17.13,2.3,33.59,56.26,726.18,35.21
1100129413,0,10.43,1.4,139.99,91.13,726.18,9.9
1100156009,0,12.95,2.59,185.52,69.51,721.84,21.93
1100168995,0,15.31,2.21,11.9,73.81,726.26,12.83
1100145110,0,15.19,1.85,40.62,70.65,727.82,50.97
1100142991,0,18.4,2.72,17.72,53.04,725.38,17.88
1100132713,0,17.3,3.41,25.96,59.5,724.39,15.85
1100155842,0,11.69,1.16,139.44,79.81,721.08,19.78
1100141541,0,11.55,1.55,279.22,60.52,723.12,7.97
1100110634,0.3,11.04,0.69,53.78,94.85,728.7,16.54
1100139599,0,11.38,1.23,204.03,88.63,726.06,21.54
1100159353,0,11.93,1.52,351.7,82.61,722.38,25.44
1100164657,0,15.19,1.27,39.1,68.9,724.4,33.23
1100127250,0,11.79,0.71,187.13,95.23,727.62,14.52
1100111073,0.1,9.79,0.68,147.34,93.47,728.81,13.31
110019795,0,10.48,0.98,204.07,72.41,726.58,17.67
1100137246,0,15.25,2.8,205.88,52.1,724.55,12.54
1100159567,0,12.68,1.11,304.7,79.02,722.16,17.74
1100129147,0,11.97,0.71,133.6,90.85,727.46,14.45
1100157794,0,13.55,1.88,235.68,63.56,722.67,11.98
1100159090,0,11.25,1.05,163.5,96.59,721.22,10.1
1100153565,0,18.21,1.58,80.76,51.01,720.09,12.52
1100126273,0,10.05,0.78,42.73,92.51,726.12,11.42
1100118630,0,12.51,1.1,0,94.56,726.8,17.16
1100158081,0,11.32,1.53,162,86.06,723.49,7.13
1100145793,0,11.65,3.1,208.2,62.91,727.29,7.79
1100132396,0,11.98,1.45,140.16,90.8,724.53,28.88
1100164668,0,13.01,3.18,200.3,59.36,725.6,5.13
1100152689,0,12.55,1.1,202.44,92.83,722.87,16.49
1100131593,0,19.13,2.75,0,53.64,724.39,12.51
1100132082,0,17.95,2.18,136.87,51.11,726.15,28.06
110019740,0,14.38,2.72,0,70.38,726.74,15.67
1100120049,0,11.58,0.63,243.65,93.33,726.86,22
1100166918,0,20.19,2.85,19.9,42.23,722.03,8.32
1100127837,0,20.2,3.18,0,35.34,724.96,17.68
1100165245,0,11.82,1.32,135,98.39,726.96,39.15
1100113635,0,10.03,0.95,269.58,81.24,724.53,25.62
1100164980,0,10.55,0.72,330.3,79.89,724.61,38.88
110017943,0,17.5,2.93,358.9,54.62,723.28,11.88
1100169633,0,13.68,1.26,186.1,88.17,725.5,35.16
1100149542,0,13.43,1.62,120.24,83.47,724.98,18.59
1100168342,0,16.86,1.57,100.6,67.98,725.2,26.42
1100120588,0,10.12,0.64,311.78,91.52,727.84,18.32
1100128609,0,10.26,0.81,192.44,92.13,726.18,24.62
1100124367,0,10.54,0.84,100.1,94.84,726.57,16.66
110011939,0.1,13.09,2.54,19.03,78.92,725.15,5.23
1100150959,0,12,0.91,230.04,89.94,726.18,14.62
1100170050,0.1,11.34,1.07,35.6,96.75,726.8,5.65
1100111637,0,19.26,4.53,0,49.88,725.06,18.22
1100165489,0,22.24,2.43,84.8,28.64,724.37,4.83
1100140757,0,9.93,1.18,229.23,82.98,725.14,24.03
1100157897,0,11.27,1.17,136.08,95.78,722.93,26.36
1100171164,0,12.4,0.95,316,74,726.75,18.33
1100149457,0,9.44,0.78,294.48,86.64,725.21,23.77
1100129917,0,11.4,2.39,198.06,53.47,726.46,6.43
110016266,0,11.52,1.78,171.12,81.47,726.97,19.79
1100122705,0,11.91,3.6,202.27,53.64,724.63,5.83
1100149627,0,12.34,1.23,131.4,87.42,726.53,13.34
1100169290,0,12.88,1.35,144.8,95.59,728.48,28.09
1100155080,0,13.78,1.34,204.36,56.39,722.94,20.35
1100112078,0,11.33,0.75,270.84,76.19,728.77,4.2
1100121566,0,12.31,3.19,187.17,61.48,727.82,25.47
1100111574,0,10.94,0.87,238.73,88.82,727.82,29.39
1100138355,0,12.64,2.77,201.01,68.44,726.25,32.08
1100136635,0,20.11,4.08,129.05,37.28,724.43,3.43
1100144901,0,12.53,1.59,176,90.52,727.58,17.96
1100143983,0,12.32,2.46,212.4,54.72,726.18,7.21
110019348,0,17.49,2.2,30.24,60.15,724.49,16
110017996,0,9.88,1.4,173.37,93.86,727,13.26
1100132920,0,14.51,1.29,112.39,76.88,727.32,12.35
1100119255,0,22.48,2.86,219.14,32.15,724.58,8.46
1100116725,0,19.53,4.13,0,41.1,722.91,5.03
1100148332,0,12.03,1.31,144.96,93.2,726.15,15.4
1100171390,0,18.62,4.52,124.8,38.14,725.6,9.08
1100115376,0,20.11,2.3,178.28,40.47,724.53,21.39
1100141406,0,17.9,1.58,109.28,47.89,724.65,13.03
1100147193,0,11.44,3.69,220.2,56.1,726.18,6.72
1100156428,0,20.86,2.53,75.84,34.79,721.14,10.07
1100154871,0,11.71,2.75,209.4,55.55,722.42,3.1
1100150103,0,11.04,0.97,168.6,97.39,726.19,9.87
1100155042,0,12.59,0.75,158.52,66.31,722.71,41.65
1100110986,0.1,13.36,2.29,3.8,82.54,728.87,24.29
1100169208,3.4,12.42,1.22,300.7,92.71,726.77,19.49
1100152166,0,12.24,0.81,297.36,70.13,721.14,7.28
1100150135,0,16.81,1.68,126.36,59.53,724.53,10.45
1100131354,0,20.99,2.36,84.76,32.18,723.3,8.29
1100130219,0,12.56,0.86,308.41,84.36,726,35.74
1100147241,0,9.3,1.06,214.08,85.77,724.53,27.28
110014022,0,12.7,3.59,201.18,62,726.96,11.59
1100150772,0,12.07,1.33,138.24,89.94,726.18,24.84
1100124314,0,10.3,1.08,177.01,96.61,724.61,6.59
1100114383,0,14.33,1.95,193.27,50.19,724.55,24.44
1100125049,0,10.33,1.09,140.45,96.43,724.53,7.69
1100114884,0.8,11.5,0.93,170.95,89.45,725.01,20.68
110015736,0,16.67,3.4,183.53,43.79,725.39,7.34
1100146730,0,10.27,0.81,214.2,84.4,726.33,12.29
110012110,0,12.63,1.18,83.99,81.49,724.76,14.69
1100136179,0,15.04,2.02,78.48,74.72,726.22,17.99
1100169716,0,10.93,1.25,210.5,85.52,726.8,22.88
110019649,0,13.44,2.02,168.45,80.49,725.72,21.89
110011058,0,11.33,0.96,110.4,87.11,728.79,28.16
1100148647,0,11.92,1.34,200.28,79.63,726.17,29.86
110019210,0,13.98,1.18,10.35,66.77,728.7,48.27
1100118978,0,11.85,0.91,359.79,94.63,727.65,10.41
1100153050,0,11.81,0.99,279.36,76.11,722.46,6.43
1100116726,0,19.05,3.76,0,42.22,722.92,8.47
1100110949,0,13.19,1.58,176.87,85.26,726.97,26.51
110019393,0.1,16.88,1.85,27.77,59.77,725.12,26.52
1100128775,0,11.18,1.18,165.01,91.84,725.89,14.29
1100165416,0,22.59,2.27,126.9,28.22,724.81,7.48
1100144123,0,11.83,1.08,193.84,92.58,727.84,27.11
1100168133,0,18.41,3.07,356.9,50.86,724.33,10.87
1100131927,0,10.22,0.97,239.01,57.04,727.57,9.98
1100171148,0,11.06,0.91,281.6,71.62,725.6,5.42
1100164248,0,18.04,3.41,111.1,39.4,725.59,17.47
1100165868,1.7,15.59,2.25,317.8,68.23,724.4,17.65
110017625,0,14.71,1.65,159.57,71.06,728.8,14.4
1100122911,0,12.23,1.64,161.28,88.88,726.18,12.41
1100160928,0,17.1,2.43,80.2,57.28,728.49,12.21
1100156980,0.8,13.42,1.69,201.12,79.14,721.27,19.92
1100150111,0.2,14.48,1.52,286.08,72.46,724.53,18.47
1100136392,0,19.39,3.53,171.22,41.47,726.2,9.89
1100156185,0,17.92,1.83,117.96,42.28,722.89,23.78
1100143471,0,15.85,1.65,109.78,72.88,726.09,23.15
1100141109,0,11.37,0.87,171.41,86.71,725.53,22.61
1100165424,0,13.53,1.47,32.4,81.65,726.81,28.88
1100152136,0,16.27,2.92,20.16,63.32,720.09,11.24
110011796,0,18.72,2.42,170.94,49.44,727.36,4.2
1100119960,0,10.01,0.77,226.47,84.3,726.43,13.66
1100119133,0,17.23,1.28,273.36,55.67,727.11,15.83
1100146958,0,12.3,1.44,185.28,70.11,726.22,19.27
1100126588,0,19.08,2.42,41.24,46.05,724.54,10.91
1100141136,0,10.84,0.91,249.3,94.33,724.53,12.52
1100122572,0,20.46,4.03,0,45.77,723.91,25.76
1100159021,0,10.25,0.42,294.8,92.26,722.67,14.08
1100164568,0,15.06,1.86,215.9,48.18,726.84,23.44
1100130553,0,14.27,1.83,137.66,80.25,725.15,25.05
110013321,0,14.96,2.29,42.76,67.22,725.23,8.4
1100153972,0,20.36,3.6,117.96,32.23,720.47,5.61
1100120977,0,15.5,1.4,158.69,54.51,726.18,18.91
1100157741,0,20.4,2.62,118.56,38.81,722.9,5.82
110016397,0,18.05,3.13,166.15,42.35,725.97,1.43
110013999,0,14.24,2.81,189.47,56.51,726.96,49.38
1100139972,0,19.53,2.21,20.26,41.69,724.43,21.92
110012578,0,10.76,0.78,114.8,90.94,727,14.36
1100134441,0,10.97,0.78,80.72,87.24,724.53,26.68
1100164975,0,11.3,0.78,270.4,83.59,724.4,38.86
1100119621,0,12.06,1.24,15.24,94.59,729.34,23.76
1100132150,0,15.17,1.68,20.28,69.31,726.18,45.39
1100150307,0,13.92,1.47,127.2,82.09,727.7,12.47
1100158053,0,14.12,2.81,100.8,72.47,722.08,25.96
1100164580,0,20.66,2.56,145.9,32.17,726.8,10.01
1100125948,0,12.13,2.1,179.17,70.07,726.36,13.49
1100152652,0,16.79,1.61,179.16,54.85,723.4,64.28
1100171730,0,17.2,2.57,73.2,42.31,724.4,10.14
1100167865,0,11.12,1,267.1,69.43,726.62,49.75
110018495,0,11.2,0.83,63.36,90.82,727.27,15.54
1100151725,0,15.83,1.83,99.48,63.23,722.78,8.54
1100141938,0,11.96,1.49,180.16,87.09,727.86,18.25
1100163087,0,12.81,1.14,177.3,88.93,727.82,26.15
1100141494,0,12.69,1.04,82.25,69.22,724.53,6.91
1100167042,0,16.2,1.67,7.9,62.96,724.4,15.36
1100148897,0,17.45,2.17,150.84,50.49,724.53,11.39
1100138638,0,12.89,3.25,200.21,52.59,727.79,10.33
1100166407,0.2,13.27,0.84,309.8,77.34,724.42,6.75
1100142705,0,17.7,1.74,56.02,59.7,725.79,19.71
